English,Urdu
I don’t feel well,مجھے اچھا نہیں لگ رہا
I like hot tea,مجھے گرم چائے پسند ہے
I’ll be there in 10 minutes,میں 10 منٹ میں وہاں پہنچوں گا
I’m going to drink some water,میں پانی پینے جا رہا ہوں
It’s very warm today,آج بہت گرمی ہے
I have a headache,میرے سر میں درد ہو رہا ہے
I’m having lunch,میں دوپہر کا کھانا کھا رہا ہوں
I like watermelon,مجھے تربوز پسند ہے
Do you like beef?,کیا آپ کو گوشت پسند ہے؟
I like to eat fish,مجھے مچھلی کھانا پسند ہے
I don’t understand,مجھے سمجھ نہیں آ رہا
I am a student,میں طالب علم ہوں
I don’t like strawberries,مجھے اسٹرابیری پسند نہیں ہیں
I’m going to drink black tea,میں کالی چائے پینے جا رہا ہوں
I like to drink coffee with milk,مجھے دودھ والی کافی پینا پسند ہے
I’m not lost,میں کھویا نہیں ہوں
This is too much,یہ بہت زیادہ ہے
How far is it?,یہ کتنا دور ہے؟
I’m lost,میں کھو گیا ہوں
I’m eating some rice,میں کچھ چاول کھا رہا ہوں
I’m going to make some soup,میں سوپ بنانے جا رہا ہوں
I’m going to buy some oranges,میں کچھ سنترے خریدنے جا رہا ہوں
The train is late,ٹرین دیر سے آ رہی ہے
Where is the nearest hospital?,قریب ترین ہسپتال کہاں ہے؟
I’m eating some dumplings,میں کچھ دُمپلنگ کھا رہا ہوں
I don’t have any money,میرے پاس پیسے نہیں ہیں
I need to buy some chicken,مجھے کچھ چکن خریدنا ہے
She is writing a letter,وہ ایک خط لکھ رہی ہے
Do you want mixed fruit smoothie?,کیا آپ کو مکس پھلوں کا اسموتھی چاہیے؟
Do you want tea with honey?,کیا آپ کو شہد والی چائے چاہیے؟
It’s very hard,یہ بہت مشکل ہے
I’m cooking some beef,میں گوشت پکا رہا ہوں
This is very cheap,یہ بہت سستا ہے
I don’t like peaches,مجھے آڑو پسند نہیں ہیں
I’m waiting for the bus,میں بس کا انتظار کر رہا ہوں
It’s very hot today,آج بہت گرمی ہے
Can I borrow your phone?,کیا میں آپ کا فون لے سکتا ہوں؟
Can you help me carry this?,کیا آپ میری مدد کر سکتے ہیں؟
Can I borrow your pen?,کیا میں آپ کا قلم لے سکتا ہوں؟
I’m going to drink rose tea,میں گلاب کی چائے پینے جا رہا ہوں
Do you want peppermint tea?,کیا آپ کو پودینہ کی چائے چاہیے؟
I’m not feeling well today,آج مجھے اچھا محسوس نہیں ہو رہا
This is my house,یہ میرا گھر ہے
Do you like swimming?,کیا آپ کو تیراکی پسند ہے؟
I’m drinking strawberry juice,میں اسٹرابیری کا رس پی رہا ہوں
Can you please repeat?,کیا آپ براہ کرم دوبارہ کہہ سکتے ہیں؟
I’m drinking black coffee,میں کالی کافی پی رہا ہوں
It was amazing,یہ شاندار تھا
I need to buy some chips,مجھے کچھ چپس خریدنی ہیں
Do you like dumplings?,کیا آپ کو دُمپلنگ پسند ہیں؟
I’m not very good at basketball,میں باسکٹ بال میں اتنا اچھا نہیں ہوں
I live in Karachi,میں کراچی میں رہتا ہوں
I’m hungry,مجھے بھوک لگی ہے
It’s very cold outside,باہر بہت سردی ہے
